scraped_ts,category,product_name,company,price_raw,city,state,rating,product_url
2025-04-24T06:51:01,tractor,"New Holland 3600-2 Tx All Rounder Plus 4wd Agriculture Tractor, 49.5 Hp",,,,,,
2025-04-24T06:51:01,tractor,"New Holland 3032 Nx Agriculture Tractor, 3 Cylinder",,,,,,
2025-04-24T06:51:01,tractor,45 Ultramaxx 4WD Escorts Farmtrac Tractor,,,,,,
2025-04-24T06:51:01,tractor,"Gt20 Sonalika Tractor, 34 Hp",,,,,,
2025-04-24T06:51:01,tractor,Escorts Powertrac Euro 50 Tractor,,,,,,
2025-04-24T06:51:01,tractor,Di50 Tiger Sonalika Tractor,,,,,,
2025-04-24T06:51:01,tractor,John Deere 5105 40HP Tractor,,,,,,
2025-04-24T06:51:01,tractor,"New Holland 7500 Turbo Super Tractor, 75 Hp",,,,,,
2025-04-24T06:51:01,tractor,Deutz Fahr Agromaxx 4045 E & 4050 E 4wd Tractors,,,,,,
2025-04-24T06:51:01,tractor,John Deere 5310 4wd Tractor,,,,,,
2025-04-24T06:51:02,tractor,"8 F + 2 R John Deere Tractor 5050 D 2WD, 50 HP",,,,,,
2025-04-24T06:51:02,tractor,"8 F + 2 R John Deere Tractor5210 2wd, 36 Hp",,,,,,
2025-04-24T06:51:02,tractor,"John Deere 3036e 4wd, 36 Hp",,,,,,
2025-04-24T06:51:02,tractor,"8 F + 4 R John Deere Tractor 5210 4wd, 63 Hp",,,,,,
2025-04-24T06:51:02,tractor,"VST Shakti Viraaj XP 9054 DI Tractor, 50 HP, 4WD",,,,,,
2025-04-24T06:51:02,tractor,"Vst Shakti 5025 R Branson Tractor, 4 Cylinder",,,,,,
2025-04-24T06:51:02,tractor,"Sonalika 35 Di Sikander, 39 Hp, 2wd",,,,,,
2025-04-24T06:51:02,tractor,"Vst Shakti Mt 225 - Ajai Power Plus, 3 Cylinder",,,,,,
2025-04-24T06:51:02,tractor,Solis 3016 4WD,,,,,,
2025-04-24T06:51:02,tractor,"New Holland 3630 Tx Plus Tractor, 4wd",,,,,,
2025-04-24T06:51:02,tractor,"New Holland Workmaster Tractor, 60 Hp",,,,,,
2025-04-24T06:51:02,tractor,"12 F + 3 R New Holland 3630 Tx Super Plus 2wd Tractor, 45 Hp",,,,,,
2025-04-24T06:51:02,tractor,Kubota Tractor 21 HP,,,,,,
2025-04-24T06:51:02,tractor,Tractor Mahindra Oja 3136,,,,,,
2025-04-24T06:51:02,tractor,Mahindra Oja 2121 Tractor,,,,,,
2025-04-24T06:51:02,tractor,"Mahindra Oja 3136 Tractor, 36 Hp",,,,,,
2025-04-24T06:51:02,tractor,"Solis 2216 Tractor, 21-30 HP, 4WD",,,,,,
2025-04-24T06:51:02,tractor,"Solis Tractor 2516, 21-30 Hp, 4wd",,,,,,
2025-04-24T06:51:02,tractor,"Mahindra Arjun Novo 605 Di Tractor, 50 Hp",,,,,,
2025-04-24T06:51:02,tractor,"8 F + 4 R John Deere 5105 4wd Tractor, 40 Hp",,,,,,
2025-04-24T06:51:02,tractor,New Holland Tractor,,,,,,
2025-04-24T06:51:02,tractor,"New Holland Tractor Tt4 Series (55 Hp, 65 Hp, 75 Hp, 80 Hp, 90 Hp)",,,,,,
2025-04-24T06:51:02,tractor,"John Deere Tractor, 63 Hp, Model Name/number: 5075",,,,,,
2025-04-24T06:51:02,tractor,"New Holland Tractors, 47 Hp",,,,,,
2025-04-24T06:51:02,tractor,"12 F + 3 R 3630 TX Plus 4WD New Holland Tractor, 55 HP",,,,,,
2025-04-24T06:51:02,tractor,"5210 2wd John Deere Tractor, 50 Hp",,,,,,
